,message length,density,rep,tau fact.,order
0,0.0016007111964807669,5,0,0.01,1
1,0.000993153866858755,5,0,0.01,2
2,0.0009458365618266046,5,0,0.01,3
3,0.00072693939794366,5,0,0.01,4
4,0.12805669114368953,5,0,0.1,1
5,0.07875682253401771,5,0,0.1,2
6,0.06851454166047337,5,0,0.1,3
7,0.0526350422689994,5,0,0.1,4
8,3.0942066738119394,5,0,1.0,1
9,2.127334042026944,5,0,1.0,2
10,1.3566883005235144,5,0,1.0,3
11,0.9413951823090119,5,0,1.0,4
12,4.589021316476651,5,0,10.0,1
13,4.605693223885295,5,0,10.0,2
14,4.604326689041355,5,0,10.0,3
15,4.60404424989358,5,0,10.0,4
16,0.0076800697563713105,5,1,0.01,1
17,0.005607155653277733,5,1,0.01,2
18,0.0044325801593080305,5,1,0.01,3
19,0.003327693054746561,5,1,0.01,4
20,0.47268475613808103,5,1,0.1,1
21,0.3344615236786358,5,1,0.1,2
22,0.25098853933846804,5,1,0.1,3
23,0.17299931992476125,5,1,0.1,4
24,4.220345706081141,5,1,1.0,1
25,3.7003699132984815,5,1,1.0,2
26,3.2497937429920443,5,1,1.0,3
27,2.7703238790876945,5,1,1.0,4
28,4.604900874396129,5,1,10.0,1
29,4.605632455899977,5,1,10.0,2
30,4.605270115555834,5,1,10.0,3
31,4.604548492707912,5,1,10.0,4
32,0.003151984121893603,5,2,0.01,1
33,0.002464717893112367,5,2,0.01,2
34,0.0020130802633500713,5,2,0.01,3
35,0.0014419722280063496,5,2,0.01,4
36,0.25083180042287934,5,2,0.1,1
37,0.18831694837953156,5,2,0.1,2
38,0.14532276284006973,5,2,0.1,3
39,0.10223349901681011,5,2,0.1,4
40,4.420010907855524,5,2,1.0,1
41,3.281765460752461,5,2,1.0,2
42,2.4045012664754744,5,2,1.0,3
43,1.8651875982374317,5,2,1.0,4
44,4.604396117476213,5,2,10.0,1
45,4.598953058043788,5,2,10.0,2
46,4.605274639951723,5,2,10.0,3
47,4.604497202593906,5,2,10.0,4
48,0.0028273972312987186,5,3,0.01,1
49,0.001715223000633384,5,3,0.01,2
50,0.001530262081371414,5,3,0.01,3
51,0.0012012522585447272,5,3,0.01,4
52,0.21747062783650872,5,3,0.1,1
53,0.1324427725393485,5,3,0.1,2
54,0.11594375257019376,5,3,0.1,3
